 row , label , sub-label 
 0 , suspense , 
 1 , , chase 
 2 , , hidden threat 
 3 , , hiding 
 4 , comedy , 
 5 , , romantic comedy 
 6 , crime , 
 7 , , courtroom drama 
 8 , , detective 
 9 , , murder scene 
 10 , fantasy , 
 11 , horror , 
 12 , mystery , 
 13 , romance , 
 14 , drama , 
 15 , everyday life , 
 16 , dream , 
 17 , landscape , 
 18 , conversation , 
 19 , , aggressive conversation 
 20 , , calm conversation 
 21 , , conversation main actor 
 22 , , intrigue 
 23 , action , 
 24 , death , 
 25 , , many deaths 
 26 , , main character dies 
 27 , , villain death 
 28 , running , 
 29 , recovery , 
 30 , hero recovers , 
 31 , laughter , 
 32 , sleeping , 
 33 , blood (violence) , 
 34 , sex , 
 35 , kissing , 
 36 , crying , 
 37 , , main character cries 
 38 , , other character cries 
 39 , pets , 
 40 , injury , 
 41 , sudden shock , 



